Role Name, Title, Description
roles/containeranalysis.ServiceAgent,  Container Analysis Service Agent,  Gives Container Analysis API the access it needs to function
roles/containeranalysis.admin,  Container Analysis Admin,  Access to all Container Analysis resources.
roles/containeranalysis.notes.attacher,  Container Analysis Notes Attacher,  Can attach Container Analysis Occurrences to Notes.
roles/containeranalysis.notes.editor,  Container Analysis Notes Editor,  Can edit Container Analysis Notes.
roles/containeranalysis.notes.occurrences.viewer,  Container Analysis Occurrences for Notes Viewer,  Can view all Container Analysis Occurrences attached to a Note.
roles/containeranalysis.notes.viewer,  Container Analysis Notes Viewer,  Can view Container Analysis Notes.
roles/containeranalysis.occurrences.editor,  Container Analysis Occurrences Editor,  Can edit Container Analysis Occurrences.
roles/containeranalysis.occurrences.viewer,  Container Analysis Occurrences Viewer,  Can view Container Analysis Occurrences.
roles/containerregistry.ServiceAgent,  Container Registry Service Agent,  Access for Container Registry
roles/containerscanning.ServiceAgent,  Container Scanner Service Agent,  Gives Container Scanner the access it needs to analyzecontainers for vulnerabilities and create occurrences using the Container Analysis API
roles/containerthreatdetection.serviceAgent,  Container Threat Detection Service Agent,  Gives Container Threat Detection service account access to enable/disable Container Threat Detection and manage the Container Threat Detection Agent on Google Kubernetes Engine clusters.
roles/contentwarehouse.serviceAgent,  Content Warehouse Service Agent,  Gives the Content Warehouse service account to manage customer resources
roles/datacatalog.admin,  Data Catalog Admin,  Full access to all DataCatalog resources
roles/datacatalog.categoryAdmin,  Policy Tag Admin,  Manage taxonomies
roles/datacatalog.categoryFineGrainedReader,  Fine-Grained Reader,  Read access to sub-resources tagged by a policy tag, for example, BigQuery columns
roles/datacatalog.entryGroupCreator,  DataCatalog EntryGroup Creator,  Can create new entryGroups
roles/datacatalog.entryGroupOwner,  DataCatalog entryGroup Owner,  Full access to entryGroups
roles/datacatalog.entryOwner,  DataCatalog entry Owner,  Full access to entries
roles/datacatalog.entryViewer,  DataCatalog Entry Viewer,  Read access to entries
roles/datacatalog.tagEditor,  Data Catalog Tag Editor,  Gives permission to modify tags on a GCP assets (BigQuery, Pub/Sub etc).
roles/datacatalog.tagTemplateCreator,  Data Catalog TagTemplate Creator,  Access to create new tag templates
roles/datacatalog.tagTemplateOwner,  Data Catalog TagTemplate Owner,  Full acess to tag templates
roles/datacatalog.tagTemplateUser,  Data Catalog TagTemplate User,  Access to use templates to tag resources
roles/datacatalog.tagTemplateViewer,  Data Catalog TagTemplate Viewer,  Read access to templates and tags created using the templates
roles/datacatalog.viewer,  Data Catalog Viewer,  Grants metadata read permissions to cataloged GCP assets (BigQuery, Pub/Sub etc)
roles/dataflow.admin,  Dataflow Admin,  Minimal role for creating and managing dataflow jobs.
roles/dataflow.developer,  Dataflow Developer,  Full operational access to Dataflow jobs.
roles/dataflow.serviceAgent,  Cloud Dataflow Service Agent,  Gives Cloud Dataflow service account access to managed resources. Includes access to service accounts.
roles/dataflow.viewer,  Dataflow Viewer,  Read only access to Dataflow jobs.
roles/dataflow.worker,  Dataflow Worker,  Worker access to Dataflow.  Intended for service accounts.
roles/datafusion.admin,  Cloud Data Fusion Admin,  Full access to Cloud Data Fusion Instances, Namespaces and related resources.
roles/datafusion.runner,  Cloud Data Fusion Runner,  Access to Cloud Data Fusion runtime resources.
roles/datafusion.serviceAgent,  Cloud Data Fusion API Service Agent,  Gives Cloud Data Fusion service account access to Service Networking, Cloud Dataproc, Cloud Storage, BigQuery, Cloud Spanner, and Cloud Bigtable resources.
roles/datafusion.viewer,  Cloud Data Fusion Viewer,  Read-only access to Cloud Data Fusion Instances, Namespaces and related resources.
roles/datalabeling.admin,  Data Labeling Service Admin,  Full access to all Data Labeling resources
roles/datalabeling.editor,  Data Labeling Service Editor,  Editor of all Data Labeling resources
roles/datalabeling.serviceAgent,  Data Labeling Service Agent,  Gives Data Labeling service account read/write access to Cloud Storage, read/write BigQuery, update CMLE model versions, editor access to Annotation service and AutoML service.
roles/datalabeling.viewer,  Data Labeling Service Viewer,  Viewer of all Data Labeling resources
roles/datamigration.admin,  Database Migration Admin,  Full access to all resources of Database Migration.
roles/datapipelines.admin,  Data pipelines Admin,  Administrator of datapipelines resources
roles/datapipelines.invoker,  Data pipelines Invoker,  Invoker of datapipelines jobs
roles/datapipelines.serviceAgent,  Datapipelines Service Agent,  Gives Datapipelines service permissions to create Dataflow & Cloud Scheduler jobs in the user project.
roles/datapipelines.viewer,  Data pipelines Viewer,  Viewer of datapipelines resources
roles/dataprep.projects.user,  Dataprep User,  Use of Dataprep.
roles/dataprep.serviceAgent,  Dataprep Service Agent,  Dataprep service identity. Includes access to service accounts.
roles/dataproc.admin,  Dataproc Administrator,  Full control of Dataproc resources.
roles/dataproc.editor,  Dataproc Editor,  Full control of Dataproc resources. Allows viewing all networks.
roles/dataproc.hubAgent,  Dataproc Hub Agent,  Allows management of Dataproc resources. Intended for service accounts running Dataproc Hub instances.
roles/dataproc.serviceAgent,  Dataproc Service Agent,  Gives Cloud Dataproc service account access to Compute, and Storage resources and Service Accounts.
roles/dataproc.viewer,  Dataproc Viewer,  Read-only access to Dataproc resources.
roles/dataproc.worker,  Dataproc Worker,  Worker access to Dataproc. Intended for service accounts.
roles/dataprocessing.admin,  Data Processing Controls Resource Admin,  Data processing controls admin who can fully manage data processing controls settings and view all datasource data.
roles/datastore.importExportAdmin,  Cloud Datastore Import Export Admin,  Full access to manage imports and exports.
roles/datastore.indexAdmin,  Cloud Datastore Index Admin,  Full access to manage index definitions.
roles/datastore.owner,  Cloud Datastore Owner,  Full access to Cloud Datastore.
roles/datastore.user,  Cloud Datastore User,  Provides read/write access to data in a Cloud Datastore database. Intended for application developers and service accounts.
roles/datastore.viewer,  Cloud Datastore Viewer,  Read access to all Cloud Datastore resources.
roles/datastream.admin,  Datastream Admin,  Full access to all Datastream resources.
roles/datastream.viewer,  Datastream Viewer,  Read-only access to all Datastream resources.
roles/datastudio.serviceAgent,  Data Studio Service Agent,  Grants Data Studio Service Account access to manage resources.
roles/dellemccloudonefs.admin,  Dell EMC Cloud OneFS Admin,  This role is managed by Dell EMC, not Google.
roles/dellemccloudonefs.user,  Dell EMC Cloud OneFS User,  This role is managed by Dell EMC, not Google.
roles/dellemccloudonefs.viewer,  Dell EMC Cloud OneFS Viewer,  This role is managed by Dell EMC, not Google.
roles/deploymentmanager.editor,  Deployment Manager Editor,  Read and Write access to all Deployment Manager resources.
roles/deploymentmanager.typeEditor,  Deployment Manager Type Editor,  Read and Write access to all Type Registry resources.
roles/deploymentmanager.typeViewer,  Deployment Manager Type Viewer,  Read-only access to all Type Registry resources.
roles/deploymentmanager.viewer,  Deployment Manager Viewer,  Read-only access to all Deployment Manager resources.
roles/dialogflow.aamAdmin,  AAM Admin,  An admin has access to all resources and can perform all administrative actions in an AAM project.
roles/dialogflow.aamConversationalArchitect,  AAM Conversational Architect,  A Conversational Architect can label conversational data, approve taxonomy changes and design virtual agents for a customer's use cases.
roles/dialogflow.aamDialogDesigner,  AAM Dialog Designer,  A Dialog Designer can label conversational data and propose taxonomy changes for virtual agent modeling.
roles/dialogflow.aamLeadDialogDesigner,  AAM Lead Dialog Designer,  A Dialog Designer Lead can label conversational data and approve taxonomy changes for virtual agent modeling.
roles/dialogflow.aamViewer,  AAM Viewer,  A user can view the taxonomy and data reports in an AAM project.
roles/dialogflow.admin,  Dialogflow API Admin,  Can query for intent; read & write session properties; read & write agent properties.
roles/dialogflow.client,  Dialogflow API Client,  Can call all methods on sessions and conversations resources as well as their descendants.
roles/dialogflow.consoleAgentEditor,  Dialogflow Console Agent Editor,  Can edit agent in Dialogflow Console
roles/dialogflow.consoleSimulatorUser,  Dialogflow Console Simulator User,  Can perform query of dialogflow suggestions in the simulator in web console.
roles/dialogflow.consoleSmartMessagingAllowlistEditor,  Dialogflow Console Smart Messaging Allowlist Editor,  Can edit allowlist for smart messaging associated with conversation model in the agent assist console
roles/dialogflow.conversationManager,  Dialogflow Conversation Manager,  Can manage all the resources related to Dialogflow Conversations.
roles/dialogflow.entityTypeAdmin,  Dialogflow Entity Type Admin,  Can read & write entity types.
roles/dialogflow.environmentEditor,  Dialogflow Environment editor,  Can read & update environment and its sub-resources.
roles/dialogflow.flowEditor,  Dialogflow Flow editor,  Can read & update flow and its sub-resources.
roles/dialogflow.integrationManager,  Dialogflow Integration Manager,  Can add, remove, enable and disable Dialogflow integrations.
roles/dialogflow.intentAdmin,  Dialogflow Intent Admin,  Can read & write intents.
roles/dialogflow.reader,  Dialogflow API Reader,  Can read agent and session properties; cannot query for intent.
roles/dialogflow.serviceAgent,  Dialogflow Service Agent,  Gives Dialogflow Service Account access to resources on behalf of user project for intent detection in integrations (Facebook Messenger, Slack, Telephony, etc.).
roles/dialogflow.testCaseAdmin,  Dialogflow Test Case Admin,  Can read & write test cases.
roles/dialogflow.webhookAdmin,  Dialogflow Webhook Admin,  Can read & write webhooks.
roles/dlp.admin,  DLP Administrator,  Administer DLP including jobs and templates.
roles/dlp.analyzeRiskTemplatesEditor,  DLP Analyze Risk Templates Editor,  Edit DLP analyze risk templates.
roles/dlp.analyzeRiskTemplatesReader,  DLP Analyze Risk Templates Reader,  Read DLP analyze risk templates.
roles/dlp.columnDataProfilesReader,  DLP Column Data Profiles Reader,  Read DLP column profiles.
roles/dlp.dataProfilesReader,  DLP Data Profiles Reader,  Read DLP profiles.
roles/dlp.deidentifyTemplatesEditor,  DLP De-identify Templates Editor,  Edit DLP de-identify templates.
roles/dlp.deidentifyTemplatesReader,  DLP De-identify Templates Reader,  Read DLP de-identify templates.
roles/dlp.estimatesAdmin,  DLP Cost Estimation,  Manage DLP Cost Estimates.
roles/dlp.inspectFindingsReader,  DLP Inspect Findings Reader,  Read DLP stored findings.
roles/dlp.inspectTemplatesEditor,  DLP Inspect Templates Editor,  Edit DLP inspect templates.
roles/dlp.inspectTemplatesReader,  DLP Inspect Templates Reader,  Read DLP inspect templates.
roles/dlp.jobTriggersEditor,  DLP Job Triggers Editor,  Edit job triggers configurations.
roles/dlp.jobTriggersReader,  DLP Job Triggers Reader,  Read job triggers.
roles/dlp.jobsEditor,  DLP Jobs Editor,  Edit and create jobs
roles/dlp.jobsReader,  DLP Jobs Reader,  Read jobs
roles/dlp.orgdriver,  DLP Organization Data Profiles Driver,  Permissions needed by the DLP service account to generate data profiles within an organization or folder.
roles/dlp.projectDataProfilesReader,  DLP Project Data Profiles Reader,  Read DLP project profiles.
roles/dlp.projectdriver,  DLP Project Data Profiles Driver,  Permissions needed by the DLP service account to generate data profiles within a project.
roles/dlp.reader,  DLP Reader,  Read DLP entities, such as jobs and templates.
roles/dlp.serviceAgent,  DLP API Service Agent,  Gives Cloud DLP service agent permissions for BigQuery, Cloud Storage, Datastore, Pub/Sub and Cloud KMS.
roles/dlp.storedInfoTypesEditor,  DLP Stored InfoTypes Editor,  Edit DLP stored info types.
roles/dlp.storedInfoTypesReader,  DLP Stored InfoTypes Reader,  Read DLP stored info types.
roles/dlp.tableDataProfilesReader,  DLP Table Data Profiles Reader,  Read DLP table profiles.
roles/dlp.user,  DLP User,  Inspect, Redact, and De-identify Content
roles/dns.admin,  DNS Administrator,  Full read-write access to DNS resources.
roles/dns.peer,  DNS Peer,  Access to target networks with DNS peering zones
roles/dns.reader,  DNS Reader,  Read-only access to DNS resources.
roles/documentai.admin,  Cloud DocumentAI Administrator.,  Grants full access to all resources in Cloud DocumentAI
roles/documentai.apiUser,  Cloud DocumentAI API User,  Grants access to process documents in Cloud DocumentAI
roles/documentai.editor,  Cloud DocumentAI Editor,  Grants access to use all resources in Cloud DocumentAI
roles/documentai.viewer,  Cloud DocumentAI Viewer,  Grants access to view all resources and process documents in Cloud DocumentAI
roles/documentaicore.serviceAgent,  DocumentAI Core Service Agent,  Gives DocumentAI Core Service Account access to consumer resources.
roles/domains.admin,  Cloud Domains Admin,  Full access to Cloud Domains Registrations and related resources.
roles/domains.viewer,  Cloud Domains Viewer,  Read-only access to Cloud Domains Registrations and related resources.
roles/earlyaccesscenter.admin,  Early Access Center Administrator,  Grants full access to the Early Access Center, including access to all DATA_READ and DATA_WRITE permissions. Including the ability to enroll into Early Access Campaigns.
roles/earlyaccesscenter.viewer,  Early Access Center Viewer,  Grants view access to the Early Access Center, including access to all DATA_READ but no DATA_WRITE permissions.
roles/earthengine.admin,  Earth Engine Resource Admin,  Full access to all Earth Engine resource features
roles/earthengine.appsPublisher,  Earth Engine Apps Publisher,  Publisher of Earth Engine Apps
roles/earthengine.viewer,  Earth Engine Resource Viewer,  Viewer of all Earth Engine resources
roles/earthengine.writer,  Earth Engine Resource Writer,  Writer of all Earth Engine resources
roles/editor,  Editor,  Edit access to all resources.
roles/endpoints.portalAdmin,  Endpoints Portal Admin,  Full access to Endpoints Portal resources
roles/endpoints.serviceAgent,  Cloud Endpoints Service Agent,  Gives the Cloud Endpoints service account access to Endpoints services and the ability to act as a service controller.
roles/endpointsportal.serviceAgent,  Endpoints Portal Service Agent,  Can access information about Endpoints services for consumer portal management, and can read Source Repositories for consumer portal custom content.
roles/enterpriseknowledgegraph.serviceAgent,  Enterprise Knowledge Graph Service Agent,  Gives Enterprise Knowledge Graph Service Account access to consumer resources.
roles/errorreporting.admin,  Error Reporting Admin,  Administrative access to Error Reporting.
roles/errorreporting.user,  Error Reporting User,  User access to Error Reporting. Can list all errors and update their metadata. Can delete error events.
roles/errorreporting.viewer,  Error Reporting Viewer,  Read-only access to all Error Reporting data.
roles/errorreporting.writer,  Error Reporting Writer,  Can send error events to Error Reporting. Intended for service accounts.
roles/essentialcontacts.admin,  Essential Contacts Admin,  Full access to all essential contacts
roles/essentialcontacts.viewer,  Essential Contacts Viewer,  Viewer for all essential contacts
roles/eventarc.admin,  Eventarc Admin,  Full control over all Eventarc resources.
roles/eventarc.developer,  Eventarc Developer,  Access to read and write Eventarc resources.
roles/eventarc.eventReceiver,  Eventarc Event Receiver,  Can receive events from all event providers.
roles/eventarc.serviceAgent,  Eventarc Service Agent,  Gives Eventarc service account access to managed resources.
roles/eventarc.viewer,  Eventarc Viewer,  Can view the state of all Eventarc resources, including IAM policies.
roles/file.editor,  Cloud Filestore Editor,  Read-write access to Filestore instances and related resources.
roles/file.serviceAgent,  Cloud Filestore Service Agent,  Gives Cloud Filestore service account access to managed resources.
roles/file.viewer,  Cloud Filestore Viewer,  Read-only access to Filestore instances and related resources.
roles/firebase.admin,  Firebase Admin,  Full access to Firebase products.
roles/firebase.analyticsAdmin,  Firebase Analytics Admin,  Full access to Google Analytics for Firebase.
roles/firebase.analyticsViewer,  Firebase Analytics Viewer,  Read access to Google Analytics for Firebase.
roles/firebase.appDistributionSdkServiceAgent,  Firebase App Distribution Admin SDK Service Agent,  Read and write access to Firebase App Distribution with the Admin SDK
roles/firebase.developAdmin,  Firebase Develop Admin,  Full access to Firebase Develop products and Analytics.
roles/firebase.developViewer,  Firebase Develop Viewer,  Read access to Firebase Develop products and Analytics.
roles/firebase.growthAdmin,  Firebase Grow Admin,  Full access to Firebase Grow products and Analytics.
roles/firebase.growthViewer,  Firebase Grow Viewer,  Read access to Firebase Grow products and Analytics.
roles/firebase.managementServiceAgent,  Firebase Service Management Service Agent,  Access to create new service agents for Firebase projects; assign roles to service agents; provision GCP resources as required by Firebase services.
roles/firebase.qualityAdmin,  Firebase Quality Admin,  Full access to Firebase Quality products and Analytics.
roles/firebase.qualityViewer,  Firebase Quality Viewer,  Read access to Firebase Quality products and Analytics.
roles/firebase.sdkAdminServiceAgent,  Firebase Admin SDK Administrator Service Agent,  Read and write access to Firebase products available in the Admin SDK
roles/firebase.sdkProvisioningServiceAgent,  Firebase SDK Provisioning Service Agent,  Access to provision apps with the Admin SDK.
roles/firebase.viewer,  Firebase Viewer,  Read-only access to Firebase products.
roles/firebaseabt.admin,  Firebase A/B Testing Admin,  Full read/write access to Firebase A/B Testing resources.
roles/firebaseabt.viewer,  Firebase A/B Testing Viewer,  Read-only access to Firebase A/B Testing resources.
roles/firebaseappcheck.admin,  Firebase App Check Admin,  Full management of Firebase App Check.
roles/firebaseappcheck.viewer,  Firebase App Check Viewer,  Read-only access for Firebase App Check.
roles/firebaseappdistro.admin,  Firebase App Distribution Admin,  Full read/write access to Firebase App Distribution resources.
roles/firebaseappdistro.viewer,  Firebase App Distribution Viewer,  Read-only access to Firebase App Distribution resources.
roles/firebaseauth.admin,  Firebase Authentication Admin,  Full read/write access to Firebase Authentication resources.
roles/firebaseauth.viewer,  Firebase Authentication Viewer,  Read-only access to Firebase Authentication resources.
roles/firebasecrash.symbolMappingsAdmin,  Firebase Crash Symbol Uploader,  Full read/write access to symbol mapping file resources for Firebase Crash Reporting.
roles/firebasecrashlytics.admin,  Firebase Crashlytics Admin,  Full read/write access to Firebase Crashlytics resources.
roles/firebasecrashlytics.viewer,  Firebase Crashlytics Viewer,  Read-only access to Firebase Crashlytics resources.
roles/firebasedatabase.admin,  Firebase Realtime Database Admin,  Full read/write access to Firebase Realtime Database resources.
roles/firebasedatabase.viewer,  Firebase Realtime Database Viewer,  Read-only access to Firebase Realtime Database resources.
roles/firebasedynamiclinks.admin,  Firebase Dynamic Links Admin,  Full read/write access to Firebase Dynamic Links resources.
roles/firebasedynamiclinks.viewer,  Firebase Dynamic Links Viewer,  Read-only access to Firebase Dynamic Links resources.
roles/firebasehosting.admin,  Firebase Hosting Admin,  Full read/write access to Firebase Hosting resources.
roles/firebasehosting.viewer,  Firebase Hosting Viewer,  Read-only access to Firebase Hosting resources.
roles/firebaseinappmessaging.admin,  Firebase In-App Messaging Admin,  Full read/write access to Firebase In-App Messaging resources.
roles/firebaseinappmessaging.viewer,  Firebase In-App Messaging Viewer,  Read-only access to Firebase In-App Messaging resources.
roles/firebaseml.admin,  Firebase ML Kit Admin,  Full read/write access to Firebase ML Kit resources.
roles/firebaseml.viewer,  Firebase ML Kit Viewer,  Read-only access to Firebase ML Kit resources.
roles/firebasemods.serviceAgent,  Firebase Extensions API Service Agent,  Grants Firebase Extensions API Service Account access to manage resources.
roles/firebasenotifications.admin,  Firebase Cloud Messaging Admin,  Full read/write access to Firebase Cloud Messaging resources.
roles/firebasenotifications.viewer,  Firebase Cloud Messaging Viewer,  Read-only access to Firebase Cloud Messaging resources.
roles/firebaseperformance.admin,  Firebase Performance Reporting Admin,  Full access to firebaseperformance resources.
roles/firebaseperformance.viewer,  Firebase Performance Reporting Viewer,  Read-only access to firebaseperformance resources.
roles/firebasepredictions.admin,  Firebase Predictions Admin,  Full read/write access to Firebase Predictions resources.
roles/firebasepredictions.viewer,  Firebase Predictions Viewer,  Read-only access to Firebase Predictions resources.
roles/firebaserules.admin,  Firebase Rules Admin,  Full management of Firebase Rules.
roles/firebaserules.viewer,  Firebase Rules Viewer,  Read-only access on all resources with the ability to test Rulesets.
roles/firebasestorage.admin,  Cloud Storage for Firebase Admin,  Full management of Cloud Storage for Firebase.
roles/firebasestorage.serviceAgent,  Cloud Storage for Firebase Service Agent,  Access to Cloud Storage for Firebase through API and SDK.
roles/firebasestorage.viewer,  Cloud Storage for Firebase Viewer,  Read-only access for Cloud Storage for Firebase.
roles/firestore.serviceAgent,  Firestore Service Agent,  Gives Firestore service account access to managed resources.
roles/firewallinsights.serviceAgent,  Cloud Firewall Insights Service Agent,  Gives Cloud Firewall Insights service agent permissions to retrieve Firewall, VM and route resources on user behalf.
roles/fleetengine.serviceAgent,  FleetEngine Service Agent,  Grants the FleetEngine Service Account access to manage resources.
roles/gameservices.admin,  Game Services API Admin,  Full access to Game Services API and related resources.
roles/gameservices.serviceAgent,  Game Services Service Agent,  Gives Game Services Service Account access to GCP resources.
roles/gameservices.viewer,  Game Services API Viewer,  Read-only access to Game Services API and related resources.
roles/genomics.admin,  Genomics Admin,  Full access to genomics datasets and operations.
roles/genomics.editor,  Genomics Editor,  Access to read and edit genomics datasets and operations.
roles/genomics.pipelinesRunner,  Genomics Pipelines Runner,  Full access to operate on genomics pipelines.
roles/genomics.serviceAgent,  Genomics Service Agent,  Gives Genomics Service Account access to compute resources. Includes access to service accounts.
roles/genomics.viewer,  Genomics Viewer,  Access to view genomics datasets and operations.
roles/gkehub.admin,  GKE Hub Admin,  Full access to GKE Hub resources.
roles/gkehub.connect,  GKE Connect Agent,  Ability to set up GKE Connect between external clusters and Google.
roles/gkehub.gatewayAdmin,  Connect Gateway Admin,  Full access to Connect Gateway.
roles/gkehub.serviceAgent,  GKE Hub Service Agent,  Gives the GKE Hub service agent access to Cloud Platform resources.
roles/gkehub.viewer,  GKE Hub Viewer,  Read-only access to GKE Hubs and related resources.
roles/gkemulticloud.admin,  Anthos Multi-cloud Admin,  Administrator of Anthos Multi-cloud resources
roles/gkemulticloud.serviceAgent,  Anthos Multi-Cloud Service Agent,  Grants the Anthos Multi-Cloud Service Account access to manage resources.
roles/gkemulticloud.viewer,  Anthos Multi-cloud Viewer,  Viewer of Anthos Multi-cloud resources
roles/gsuiteaddons.developer,  Google Workspace Add-ons Developer,  Full access to Google Workspace Add-ons resources
roles/gsuiteaddons.reader,  Google Workspace Add-ons Reader,  Read-only access to Google Workspace Add-ons resources
roles/gsuiteaddons.tester,  Google Workspace Add-ons Tester,  Testing execution access to Google Workspace Add-ons resources
roles/healthcare.annotationEditor,  Healthcare Annotation Editor,  Create, delete, update, read and list annotations.
roles/healthcare.annotationReader,  Healthcare Annotation Reader,  Read and list annotations in an Annotation store.
roles/healthcare.annotationStoreAdmin,  Healthcare Annotation Administrator,  Administer Annotation stores.
roles/healthcare.annotationStoreViewer,  Healthcare Annotation Store Viewer,  List Annotation Stores in a dataset.
roles/healthcare.attributeDefinitionEditor,  Healthcare Attribute Definition Editor,  Edit AttributeDefinition objects.
roles/healthcare.attributeDefinitionReader,  Healthcare Attribute Definition Reader,  Read AttributeDefinition objects in a consent store.
roles/healthcare.consentArtifactAdmin,  Healthcare Consent Artifact Administrator,  Administer ConsentArtifact objects.
roles/healthcare.consentArtifactEditor,  Healthcare Consent Artifact Editor,  Edit ConsentArtifact objects.
roles/healthcare.consentArtifactReader,  Healthcare Consent Artifact Reader,  Read ConsentArtifact objects in a consent store.
roles/healthcare.consentEditor,  Healthcare Consent Editor,  Edit Consent objects.
roles/healthcare.consentReader,  Healthcare Consent Reader,  Read Consent objects in a consent store.
roles/healthcare.consentStoreAdmin,  Healthcare Consent Store Administrator,  Administer Consent stores.
roles/healthcare.consentStoreViewer,  Healthcare Consent Store Viewer,  List Consent Stores in a dataset.
roles/healthcare.datasetAdmin,  Healthcare Dataset Administrator,  Administer Healthcare Datasets.
roles/healthcare.datasetViewer,  Healthcare Dataset Viewer,  List the Healthcare Datasets in a project.
roles/healthcare.dicomEditor,  Healthcare DICOM Editor,  Edit DICOM images individually and in bulk.
roles/healthcare.dicomStoreAdmin,  Healthcare DICOM Store Administrator,  Administer DICOM stores.
roles/healthcare.dicomStoreViewer,  Healthcare DICOM Store Viewer,  List DICOM Stores in a dataset.
roles/healthcare.dicomViewer,  Healthcare DICOM Viewer,  Retrieve DICOM images from a DICOM store.
roles/healthcare.fhirResourceEditor,  Healthcare FHIR Resource Editor,  Create, delete, update, read and search FHIR resources.
roles/healthcare.fhirResourceReader,  Healthcare FHIR Resource Reader,  Read and search FHIR resources.
roles/healthcare.fhirStoreAdmin,  Healthcare FHIR Store Administrator,  Administer FHIR resource stores.
roles/healthcare.fhirStoreViewer,  Healthcare FHIR Store Viewer,  List FHIR Stores in a dataset.
roles/healthcare.hl7V2Consumer,  Healthcare HL7v2 Message Consumer,  List and read HL7v2 messages, update message labels, and publish new messages.
roles/healthcare.hl7V2Editor,  Healthcare HL7v2 Message Editor,  Read, write, and delete access to HL7v2 messages.
roles/healthcare.hl7V2Ingest,  Healthcare HL7v2 Message Ingest,  Ingest HL7v2 messages received from a source network.
roles/healthcare.hl7V2StoreAdmin,  Healthcare HL7v2 Store Administrator,  Administer HL7v2 Stores.
roles/healthcare.hl7V2StoreViewer,  Healthcare HL7v2 Store Viewer,  View HL7v2 Stores in a dataset.
roles/healthcare.nlpServiceViewer,  Healthcare NLP Service Viewer,  Extract and analyze medical entities from a given text.
roles/healthcare.serviceAgent,  Healthcare Service Agent,  Gives the Healthcare Service Account access to networks,Kubernetes engine, and pubsub resources.
roles/healthcare.userDataMappingEditor,  Healthcare User Data Mapping Editor,  Edit UserDataMapping objects.
roles/healthcare.userDataMappingReader,  Healthcare User Data Mapping Reader,  Read UserDataMapping objects in a consent store.
roles/iam.organizationRoleAdmin,  Organization Role Administrator,  Access to administer all custom roles in the organization and the projects below it.
roles/iam.organizationRoleViewer,  Organization Role Viewer,  Read access to all custom roles in the organization and the projects below it.
roles/iam.roleAdmin,  Role Administrator,  Access to administer all custom roles in the project.
roles/iam.roleViewer,  Role Viewer,  Read access to all custom roles in the project.
roles/iam.securityAdmin,  Security Admin,  Security admin role, with permissions to get and set any IAM policy.
roles/iam.securityReviewer,  Security Reviewer,  Security reviewer role, with permissions to get any IAM policy.
	roles/iam.serviceAccountAdmin,  Service Account Admin,  Create and manage service accounts.
roles/iam.serviceAccountCreator,  Create Service Accounts,  Access to create service accounts.
roles/iam.serviceAccountDeleter,  Delete Service Accounts,  Access to delete service accounts.
roles/iam.serviceAccountKeyAdmin,  Service Account Key Admin,  Create and manage (and rotate) service account keys.
roles/iam.serviceAccountTokenCreator,  Service Account Token Creator,  Impersonate service accounts (create OAuth2 access tokens, sign blobs or JWTs, etc).
roles/iam.serviceAccountUser,  Service Account User,  Run operations as the service account.
roles/iam.workloadIdentityPoolAdmin,  IAM Workload Identity Pool Admin,  Full rights to create and manage workload identity pools.
roles/iam.workloadIdentityPoolViewer,  IAM Workload Identity Pool Viewer,  Read access to workload identity pools.
roles/iam.workloadIdentityUser,  Workload Identity User,  Impersonate service accounts from GKE Workloads
roles/iap.admin,  IAP Policy Admin,  Administrator of IAP Permissions
roles/iap.httpsResourceAccessor,  IAP-secured Web App User,  Access HTTPS resources which use Identity-Aware Proxy
roles/iap.settingsAdmin,  IAP Settings Admin,  Administrator of IAP Settings.
roles/iap.tunnelResourceAccessor,  IAP-secured Tunnel User,  Access Tunnel resources which use Identity-Aware Proxy
roles/identityplatform.admin,  Identity Platform Admin,  Full access to Identity Platform resources.
roles/identityplatform.viewer,  Identity Platform Viewer,  Read access to Identity Platform resources.
roles/identitytoolkit.admin,  Identity Toolkit Admin,  Full access to Identity Toolkit resources.
roles/identitytoolkit.viewer,  Identity Toolkit Viewer,  Read access to Identity Toolkit resources.
roles/integrations.apigeeIntegrationAdminRole,  Apigee Integration Admin,  A user that has full access to all Apigee integrations.
roles/integrations.apigeeIntegrationDeployerRole,  Apigee Integration Deployer,  A developer that can deploy/undeploy Apigee integrations to the integration runtime.
roles/integrations.apigeeIntegrationEditorRole,  Apigee Integration Editor,  A developer that can list, create and update Apigee integrations.
roles/integrations.apigeeIntegrationInvokerRole,  Apigee Integration Invoker,  A role that can invoke Apigee integrations.
roles/integrations.apigeeIntegrationsViewer,  Apigee Integration Viewer,  A developer that can list and view Apigee integrations.
roles/integrations.apigeeSuspensionResolver,  Apigee Integration Approver,  A role that can approve / reject Apigee integrations that contain a suspension/wait task.
roles/kuberun.eventsControlPlaneServiceAgent,  KubeRun Events Control Plane Service Agent,  Service account role used to setup authentication for the control plane used by KubeRun Events.
roles/kuberun.eventsDataPlaneServiceAgent,  KubeRun Events Data Plane Service Agent,  Service account role used to setup authentication for the data plane used by KubeRun Events.
roles/lifesciences.admin,  Cloud Life Sciences Admin,  Full control of Cloud Life Sciences resources.
roles/lifesciences.editor,  Cloud Life Sciences Editor,  Access to read and edit Cloud Life Sciences resources.
roles/lifesciences.serviceAgent,  Cloud Life Sciences Service Agent,  Gives Cloud Life Sciences Service Account access to compute resources. Includes access to service accounts.
